file_hash,file_path,group_size,file_size_bytes,file_size_mb
f118f4f92d88263026c7bf55de182639,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0024800.jpg,2,268818,0.26
f118f4f92d88263026c7bf55de182639,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0024800.jpg,2,268818,0.26
d6c59fd7e6469f481595c8e3c6f5c703,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0024948.jpg,2,274133,0.26
d6c59fd7e6469f481595c8e3c6f5c703,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0024948.jpg,2,274133,0.26
e80fc9560e27f04fac992452d7c5a827,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0010889.jpg,2,55730,0.05
e80fc9560e27f04fac992452d7c5a827,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0010889.jpg,2,55730,0.05
93dbde640711c35a3d336c13984a9d4c,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0024913.jpg,2,324844,0.31
93dbde640711c35a3d336c13984a9d4c,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0024913.jpg,2,324844,0.31
5635cc371bc14b49216890506d7d5975,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0024468.jpg,2,291343,0.28
5635cc371bc14b49216890506d7d5975,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0024468.jpg,2,291343,0.28
d34718165172d1b3236666fe96393525,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0024646.jpg,2,232181,0.22
d34718165172d1b3236666fe96393525,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0024646.jpg,2,232181,0.22
ec23d1a47448634e4e21762b79bddfe0,/Users/soneyeoluwasina/Downloads/Skin/Test/actinic keratosis/ISIC_0025605.jpg,2,249258,0.24
ec23d1a47448634e4e21762b79bddfe0,/Users/soneyeoluwasina/Downloads/Skin/Train/nevus/ISIC_0025605.jpg,2,249258,0.24
